"Product_Name","Variant_Size","Price_INR","Available","Category"
"Fruit & Nut Chocolate","Default Title","250.00","True",""
"Fruits & Nuts Muesli","1kg","720.00","True",""
"Fruits & Nuts Muesli","250g","180.00","True",""
"Fruits & Nuts Muesli","500g","360.00","True",""
"Fruits Granola","1kg","750.00","True",""
"Fruits Granola","250g","187.50","True",""
"Fruits Granola","500g","375.00","True",""
"Garam Masala","150gm","210.00","True",""
"Garlic pickle","280g","295.00","True",""
"Ginger Cube","1kg","1040.00","True",""
"Ginger Cube","250g","260.00","True",""
"Ginger Cube","500g","520.00","True",""
"Ginger Honey","250g","435.00","True",""
"Ginger Honey","400g","670.00","True",""
"Gooseberry Pickle","280g","260.00","True",""
"Green Gram","1kg","240.00","True",""
"Green Gram","250g","60.00","True",""
"Green Gram","500g","120.00","True",""
"Green Gram Powder (Cherupayar Podi)","1kg","460.00","True",""
"Green Gram Powder (Cherupayar Podi)","250g","115.00","True",""
"Green Gram Powder (Cherupayar Podi)","500g","230.00","True",""
"Green Peas","1kg","160.00","True",""
"Green Peas","250g","40.00","True",""
"Green Peas","500g","80.00","True",""
"Groundnut Oil","460gm","255.00","True",""
"Groundnut Oil","910 gm","470.00","True",""
"Hazel Nuts","1kg","3700.00","True",""
"Hazel Nuts","250g","925.00","True",""
"Hazel Nuts","500g","1850.00","True",""
"Hazelnut Nut Butter","250g / Honey","1030.00","True",""
"Hazelnut Nut Butter","250g / Jaggery","1020.00","True",""
"Hazelnut Nut Butter","250g / Unsweetened","1000.00","True",""
"Henna Powder","100G","205.00","True",""
"Henna Powder","1kg","2050.00","True",""
"Henna Powder","250g","512.50","True",""
"Henna Powder","500g","1025.00","True",""
"Hibiscus Powder","100g","210.00","True",""
"Hibiscus Powder","1kg","2100.00","True",""
"Hibiscus Powder","250g","525.00","True",""
"Hibiscus Powder","500g","1050.00","True",""
"Hing (Asafoetida)","100g","350.00","True",""
"Hing (Asafoetida)","1kg","3500.00","True",""
"Hing (Asafoetida)","250g","875.00","True",""
"Hing (Asafoetida)","500g","1750.00","True",""
"Honey","Default Title","20.00","True",""
"Honey Dipper","Default Title","100.00","True",""
"Horse Gram (Muthira)","1kg","180.00","True",""
"Horse Gram (Muthira)","250g","45.00","True",""
"Horse Gram (Muthira)","500g","90.00","True",""
"Idli Powder","1kg","840.00","True",""
"Idli Powder","250g","210.00","True",""
"Idli Powder","500g","420.00","True",""
"Idly Rice SR Orange","1kg","85.00","True",""
"Idly Rice SR Orange","250g","21.25","True",""
"Idly Rice SR Orange","500g","42.50","True",""
"Incha/ Acacia Wild","100g","250.00","True",""
"Incha/ Acacia Wild","1kg","2500.00","True",""
"Incha/ Acacia Wild","250g","625.00","True",""
"Incha/ Acacia Wild","500g","1250.00","True",""
"Indigo Powder","100g","210.00","True",""
"Indigo Powder","1kg","2100.00","True",""
"Indigo Powder","250g","525.00","True",""
"Indigo Powder","500g","1050.00","True",""
"Iratti Madhuram","1kg","900.00","True",""
"Iratti Madhuram","250g","225.00","True",""
"Iratti Madhuram","500g","450.00","True",""
"Jackfruit Pasta","1kg","520.00","True",""
"Jackfruit Pasta","250g","130.00","True",""
"Jackfruit Pasta","500g","260.00","True",""
"Jaggery","Default Title","20.00","True",""
"Jaggery Mix Dry Fruit","1kg","1600.00","True",""
"Jaggery Mix Dry Fruit","250g","400.00","True",""
"Jaggery Mix Dry Fruit","500g","800.00","True",""
"Jowar (Sorghum Millet)","1kg","115.00","True",""
"Jowar (Sorghum Millet)","250g","28.75","True",""
"Jowar (Sorghum Millet)","500g","57.50","True",""
"Jowar (Sorghum Millet) Rava","1kg","210.00","True",""
"Jowar (Sorghum Millet) Rava","250g","52.50","True",""
"Jowar (Sorghum Millet) Rava","500g","105.00","True",""
"Jowar Flakes","1kg","220.00","True",""
"Jowar Flakes","250g","55.00","True",""
"Jowar Flakes","500g","110.00","True",""
"Jowar Millet Pasta","1kg","560.00","True",""
"Jowar Millet Pasta","250g","140.00","True",""
"Jowar Millet Pasta","500g","280.00","True",""
"Kabuli Chana White","1kg","250.00","True",""
"Kabuli Chana White","250g","62.50","True",""
"Kabuli Chana White","500g","125.00","True",""
"Kadukka (Haritaki)","1kg","300.00","True",""
"Kadukka (Haritaki)","250g","75.00","True",""
"Kadukka (Haritaki)","500g","150.00","True",""
"Karingali (Black Cutch)","1kg","630.00","True",""
"Karingali (Black Cutch)","250g","157.50","True",""
"Karingali (Black Cutch)","500g","315.00","True",""
"Kasthuri Haldi Powder","100g","150.00","True",""
"Kasthuri Haldi Powder","1KG","1500.00","True",""
"Kasthuri Haldi Powder","250G","375.00","True",""
"Kasthuri Haldi Powder","500G","750.00","True",""
"Kiwi Green Dried","1kg","890.00","True",""
"Kiwi Green Dried","250g","222.50","True",""
"Kiwi Green Dried","500g","445.00","True",""
"Kiwi Yellow Dried","1kg","820.00","True",""
"Kiwi Yellow Dried","250g","205.00","True",""
"Kiwi Yellow Dried","500g","410.00","True",""
"Kodo Millet (Arka)","1 kg","170.00","True",""
"Kodo Millet (Arka)","250g","42.50","True",""
"Kodo Millet (Arka)","500g","85.00","True",""
"Kodo Millet (Arka) Rava","1kg","270.00","True",""
"Kodo Millet (Arka) Rava","250g","67.50","True",""
"Kodo Millet (Arka) Rava","500g","135.00","True",""
"Kodo Millet Cookies","1kg","560.00","True",""
"Kodo Millet Cookies","250g","140.00","True",""
"Kodo Millet Cookies","500g","280.00","True",""
"Lapsi Daliya (Broken Wheat)","1kg","120.00","True",""
"Lapsi Daliya (Broken Wheat)","250g","30.00","True",""
"Lapsi Daliya (Broken Wheat)","500g","60.00","True",""
"Lemon pickle","280g","280.00","True",""
"Little Millet (Samai)","1kg","210.00","True",""
"Little Millet (Samai)","250g","52.50","True",""
"Little Millet (Samai)","500g","105.00","True",""
"Little Millet (Samai) Rava","1kg","300.00","True",""
"Little Millet (Samai) Rava","250g","75.00","True",""
"Little Millet (Samai) Rava","500g","150.00","True",""
"Little Millet Cookies","1kg","560.00","True",""
"Little Millet Cookies","250gm","140.00","True",""
"Little Millet Cookies","500gm","325.00","True",""
"Lobia (Red Cowpeas)","1kg","190.00","True",""
"Lobia (Red Cowpeas)","250g","47.50","True",""
"Lobia (Red Cowpeas)","500g","95.00","True",""
"Lokwan Gund Wheat","1kg / Powder","75.00","True",""
"Lokwan Gund Wheat","1kg / Raw","75.00","True",""
"Lokwan Gund Wheat","3kg / Powder","225.00","True",""
"Lokwan Gund Wheat","3kg / Raw","225.00","True",""
"Lokwan Gund Wheat","5kg / Powder","375.00","True",""
"Lokwan Gund Wheat","5kg / Raw","375.00","True",""
"Macadamia Nuts - With Shell","1kg","3880.00","True",""
"Macadamia Nuts - With Shell","250g","970.00","True",""
"Macadamia Nuts - With Shell","500g","1940.00","True",""
"Makhana (Lotus Seeds)","1kg","1980.00","True",""
"Makhana (Lotus Seeds)","250g","495.00","True",""
"Makhana (Lotus Seeds)","500g","990.00","True",""
"Mango Dried","1kg","1200.00","True",""
"Mango Dried","250g","300.00","True",""
"Mango Dried","500g","600.00","True",""
"Manjishta Root Powder","100g","195.00","True",""
"Manjishta Root Powder","1kg","1950.00","True",""
"Manjishta Root Powder","250g","487.50","True",""
"Manjishta Root Powder","500g","975.00","True",""
"Marathi Moggu","1kg","1200.00","True",""
"Marathi Moggu","250g","300.00","True",""
"Marathi Moggu","500g","600.00","True",""
"Marathi Moggu Long (Kapok Buds)","1kg","1200.00","True",""
"Marathi Moggu Long (Kapok Buds)","250g","300.00","True",""
"Marathi Moggu Long (Kapok Buds)","500g","600.00","True",""
"Marayoor Jaggery Powder","1kg","280.00","True",""
"Marayoor Jaggery Powder","250g","70.00","True",""
"Marayoor Jaggery Powder","500g","140.00","True",""
"Marayoor Jaggery Whole","1kg","200.00","True",""
"Marayoor Jaggery Whole","250g","50.00","True",""
